Organisation Name,Annual Revenue,Assigned To,Created Time,Start Financial Year,Commitment Number of Jobs,Registration Status,BBBEE ALign,Demand Shaping Package,Demand Shaping Start Date,Uncontactable Company,CRM Status,M & E Payment Made,Youth Uploaded,Phones Delivered,Extra Youth
Sigcineke (pty)ltd,0,YES Administrator,03-05-2019 00:47:13,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Additive Manufacturing Solutions (Pty) Ltd,0,YES Administrator,03-05-2019 06:29:18,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Bazibuse investments (pty) Ltd,0,YES Administrator,03-05-2019 06:58:13,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
SELMAC (PTY) LTD,704000,YES Administrator,03-05-2019 10:06:03,February,1,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Tru-Cape Fruit Marketing (Pty)Ltd,49457198,YES Administrator,03-05-2019 14:02:26,November,3,Registered,yes,In-House 5000,01-08-2019,no,On - Track August 2019,no,NA,NA,0
Glomiaetech ltd,0,YES Administrator,05-05-2019 17:33:55,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Boston Scientific South Africa (Pty) Ltd,357855596,YES Administrator,06-05-2019 11:42:46,January,13,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
Mristo General Tranding (PTY) Ltd,0,YES Administrator,06-05-2019 16:34:24,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
BURNCRETE - A DIVISION OF BRANDCORP (PTY) LTD,0,YES Administrator,07-05-2019 14:28:35,July,0,Calculating for BBBEE,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
RCL Foods Sugar & Milling (Pty) Ltd,13566850000,YES Administrator,07-05-2019 15:45:10,July,106,Registered,yes,In-House 5000,01-03-2019,no,NA,yes,NA,NA,12
RCL Foods Consumer (Pty) Ltd,12752874000,YES Administrator,07-05-2019 16:18:49,July,140,Registered,yes,In-House 5000,01-03-2019,no,On Track - July 2019,yes,NA,NA,0
Vector Logistics (Pty) Ltd,1979958000,YES Administrator,07-05-2019 16:38:51,July,68,Registered,yes,In-House 5000,18-02-2019,no,On Track - July 2019,yes,NA,NA,8
Zee Investment Group,0,YES Administrator,08-05-2019 06:48:05,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Intuitive PDA,38000000,YES Administrator,09-05-2019 10:30:14,October,1,Registered,yes,NA,NA,no,On Hold - Awaiting Strategy Sesison,no,NA,NA,0
Scarlett Consulting,0,YES Administrator,09-05-2019 11:44:33,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Tracker Connect (Pty) Ltd,0,YES Administrator,09-05-2019 15:44:32,July,0,Calculating for BBBEE,yes,NA,NA,no,On Hold - Awaiting Strategy Sesison,no,NA,NA,0
Amandla KaSibeko Projects,0,YES Administrator,09-05-2019 20:49:44,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Mats,0,YES Administrator,09-05-2019 22:34:55,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Vuledzani Masala Liabara Pty Ltd,0,YES Administrator,11-05-2019 11:55:49,NA,0,Initial Signup,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
Mdletshe Auto Parts(PTY)Ltd,106000,YES Administrator,12-05-2019 12:38:57,June,1,Confirming,yes,NA,NA,no,Archived,no,NA,NA,0
NSN Property Development,0,YES Administrator,12-05-2019 19:06:51,June,5,Confirming,no,NA,NA,no,Archived,no,NA,NA,0
N nechi Construction,0,YES Administrator,13-05-2019 09:17:53,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
HSC - Hospitality Solutions Company,0,YES Administrator,13-05-2019 11:44:57,July,200,Calculating for Non-BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
B & V Contractors (Pty) Ltd,0,YES Administrator,13-05-2019 14:32:05,July,0,Calculating for BBBEE,yes,NA,NA,no,On Hold - Awaiting Strategy Sesison,no,NA,NA,0
Media Gang,0,YES Administrator,13-05-2019 15:16:18,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Macduff Trading Enterprise t/a Mac Telecoms SA,0,YES Administrator,13-05-2019 15:26:31,March,2000,Adding Business Details,no,NA,NA,no,Archived,no,NA,NA,0
Shingo Arts,0,YES Administrator,13-05-2019 20:30:07,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Hartmans Industriele Toerusting (Pty) Ltd,43617442,YES Administrator,14-05-2019 09:49:59,March,1,Registered,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
Innocent IT solutions,0,YES Administrator,14-05-2019 12:54:45,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Icanindeed,0,YES Administrator,14-05-2019 13:53:38,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Mnimzo constructions,0,YES Administrator,15-05-2019 11:38:22,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Market Theatre foundation internship,0,YES Administrator,15-05-2019 12:26:31,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Lightstone (Pty) Ltd,205430067,YES Administrator,15-05-2019 12:39:03,March,20,Registered,yes,Host Placement 9000,31-07-2019,no,On Track - July 2019,yes,NA,NA,0
TeamArefelepelo,0,YES Administrator,15-05-2019 13:26:23,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
N/A,0,YES Administrator,15-05-2019 13:49:55,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
PG Group (2019),3764800000,Tracey Czakan,15-05-2019 13:54:13,January,110,Registered,yes,NA,20-05-2019,no,NA,yes,NA,NA,4
mmakhwelies development holdings,0,YES Administrator,15-05-2019 15:13:47,NA,0,Initial Signup,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
Assupol Life Limited,854300000,YES Administrator,15-05-2019 15:18:57,July,189,Registered,yes,In-House 5000,24-06-2019,no,On - Track August 2019,yes,NA,NA,7
TMT,0,YES Administrator,15-05-2019 15:21:43,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Frigoglass Pty Ltd,0,YES Administrator,15-05-2019 15:33:09,NA,0,Initial Signup,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
Kgana-Naledi trading and projects,0,YES Administrator,15-05-2019 21:07:08,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Kgobang Kgetsi Trading Enterprise (PTY)Ltd,0,YES Administrator,15-05-2019 22:15:49,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
MIS Engineering (Pty) Ltd,0,YES Administrator,16-05-2019 07:11:37,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Gordon Harris Photographic (PTY) LTD,29428018,YES Administrator,16-05-2019 07:24:27,March,4,Registered,yes,Small Biz 1700,01-03-2019,no,On Track - July 2019,yes,NA,NA,0
Networkers International South Africa PTY LTD,31079118,YES Administrator,16-05-2019 11:16:34,August,1,Registered,yes,Small Biz 1700,24-06-2019,no,On - Track August 2019,yes,NA,Yes,0
Mr Windscreen Pty ltd,0,YES Administrator,16-05-2019 11:27:50,NA,0,Initial Signup,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
ABSA,0,YES Administrator,16-05-2019 12:01:06,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Neil Esterhuysen & Associates Inc.,9516174.0399999991,YES Administrator,16-05-2019 12:30:49,January,2,Registered,yes,Small Biz 1700,01-06-2019,no,On - Track August 2019,yes,NA,NA,0
Transaction Capital Recoveries,726000000,YES Administrator,16-05-2019 14:24:59,October,24,Registered,yes,In-House 5000,05-08-2019,no,On - Track August 2019,yes,NA,NA,26
SKN Investment Group,0,YES Administrator,16-05-2019 14:28:46,December,0,Adding Business Details,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
MC NAUGHT AND COMPANY INCORPORATED,9000000,YES Administrator,16-05-2019 14:46:13,March,2,Registered,yes,NA,01-07-2019,no,NA,no,NA,NA,0
Correlate Digital,0,YES Administrator,16-05-2019 16:09:28,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Smart,0,YES Administrator,17-05-2019 10:00:33,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Hewlett-Packard South Africa (Pty) Ltd,1394626181,YES Administrator,17-05-2019 15:26:42,November,20,Awaiting Pledge and Payment,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
The Building Company,7902903000,YES Administrator,17-05-2019 16:06:22,October,216,Registered,yes,NA,NA,no,On Track - July 2019,yes,NA,NA,0
LOT Enterprise,0,YES Administrator,18-05-2019 22:24:17,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Sibu Arts Project Studio,0,YES Administrator,20-05-2019 10:45:32,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Cape Island,0,YES Administrator,20-05-2019 13:54:12,March,2,Calculating for Non-BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
Bolt & Engineering Distributors (Pty) Ltd,254833340,YES Administrator,20-05-2019 14:00:18,September,11,Registered,yes,In-House 5000,27-05-2019,no,NA,yes,Yes,Yes,0
kagiso Glen Labour (pty) Ltd,0,YES Administrator,20-05-2019 14:04:54,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Ace Cleaners,0,YES Administrator,21-05-2019 10:48:02,March,5,Confirming,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
RCL Group Services (Pty) Ltd,75000000,YES Administrator,21-05-2019 13:58:28,July,7,Registered,yes,In-House 5000,04-03-2019,no,On Track - July 2019,yes,NA,NA,2
DliwayoT,200000,YES Administrator,21-05-2019 17:47:07,March,1,Confirming,yes,NA,NA,no,Archived,no,NA,NA,0
BuhAthy,0,YES Administrator,21-05-2019 19:34:49,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Ngidi services,0,YES Administrator,21-05-2019 20:45:54,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Fade Communications and Video Services,0,YES Administrator,21-05-2019 21:39:32,February,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
"n,jn",0,YES Administrator,21-05-2019 22:50:37,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
LARONA INN,0,YES Administrator,22-05-2019 04:26:08,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Johnson Crane Hire (Pty) Ltd.,462266185,Justin Christie,22-05-2019 10:44:52,July,15,Awaiting Pledge and Payment,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
Modernising Management Pty Ltd,23454717,YES Administrator,22-05-2019 12:01:51,March,2,Registered,yes,Small Biz 1700,01-07-2019,no,On - Track August 2019,yes,NA,NA,1
Bongani Rainmaker Logistics,0,YES Administrator,22-05-2019 13:34:48,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Spier Farm Management (Pty) Ltd - trading as Spier Wines,349700394,YES Administrator,22-05-2019 13:48:17,July,13,Registered,yes,NA,01-07-2019,no,On - Track August 2019,no,NA,NA,0
Kanu Commercial Body Construction,0,YES Administrator,22-05-2019 14:52:42,January,0,Calculating for BBBEE,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
Cirebelle,0,YES Administrator,23-05-2019 08:54:11,January,0,Calculating for Non-BBBEE,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
Test (Demographica),0,YES Administrator,23-05-2019 11:08:18,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Mbombela Film office,0,YES Administrator,23-05-2019 12:23:57,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
O-Line Technologies & Communications,0,YES Administrator,23-05-2019 12:53:06,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Vast-Tech,0,YES Administrator,23-05-2019 13:04:20,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Construct Executive Search,0,YES Administrator,23-05-2019 14:33:37,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Black child,0,YES Administrator,23-05-2019 15:50:50,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Siqalo NLP and life coach and public speaker (PTY)LTD,0,YES Administrator,23-05-2019 17:33:33,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
NEW KING INNOVATIVE,0,YES Administrator,23-05-2019 20:12:01,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Devjee International,0,YES Administrator,23-05-2019 22:21:17,March,7,Confirming,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
kgaditsi cleaning services,0,YES Administrator,24-05-2019 10:47:42,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Ziyanda Cleaning Services,0,YES Administrator,24-05-2019 23:06:19,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
The rise out of poverty,0,YES Administrator,26-05-2019 19:58:04,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Kamva Capital,1200000,YES Administrator,27-05-2019 11:21:14,February,20,Registered,yes,Small Biz 1700,01-07-2019,no,Archived,no,NA,NA,0
Ascendis Management Services,0,YES Administrator,27-05-2019 14:11:31,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Ewit services,0,YES Administrator,27-05-2019 16:53:27,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Young Kaleidoscope Projects,0,YES Administrator,27-05-2019 17:44:39,March,0,Calculating for BBBEE,yes,NA,NA,no,Potential Host,no,NA,NA,0
CloudComSA,0,YES Administrator,27-05-2019 18:32:11,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Good Try (Pty) Ltd t/a Cellvault,37041373,YES Administrator,27-05-2019 20:47:45,March,4,Registered,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
Oats risk services,0,YES Administrator,28-05-2019 08:48:31,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
The Scientific Group,345646644,YES Administrator,28-05-2019 09:47:15,July,24,Registered,yes,In-House 5000,30-06-2019,no,On - Track August 2019,yes,NA,NA,0
Nolands,0,YES Administrator,28-05-2019 11:49:47,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Peniel Impact Investment,0,YES Administrator,28-05-2019 12:13:38,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Dezzo,318009322,YES Administrator,29-05-2019 08:28:00,July,12,Registered,yes,In-House 5000,30-06-2019,no,On - Track August 2019,yes,NA,Yes,0
Gemu Valves Africa (Pty) Ltd,0,YES Administrator,29-05-2019 11:18:17,January,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
TMT Services & Supplies Pty Ltd,0,YES Administrator,29-05-2019 11:31:49,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
Respiratory Care Africa,476237312,YES Administrator,29-05-2019 14:29:37,July,30,Registered,yes,In-House 5000,30-06-2019,no,On - Track August 2019,yes,NA,Yes,0
Surgical Innovations,535213817,YES Administrator,30-05-2019 08:53:52,July,34,Registered,yes,In-House 5000,30-06-2019,no,On - Track August 2019,yes,NA,Yes,0
SS HUMILITY EVENTS,0,YES Administrator,30-05-2019 15:02:44,December,100,Calculating for Non-BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
WSDFGFKL,0,YES Administrator,30-05-2019 17:04:51,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Mokebe Ltd,5000000,YES Administrator,31-05-2019 10:30:30,July,2,Confirming,yes,NA,NA,no,Archived,no,NA,NA,0
Consolidated Power Maintenance (Pty) Ltd,42000000,YES Administrator,31-05-2019 11:53:09,September,8,Registered,yes,Small Biz 1700,01-08-2019,no,On Track,yes,NA,NA,0
Gearhouse SA (Pty) Ltd,281000000,YES Administrator,31-05-2019 15:49:06,July,11,Registered,yes,In-House 5000,01-07-2019,no,On Track - July 2019,yes,NA,Yes,0
MMS Group Advisory Services,0,YES Administrator,01-06-2019 08:42:07,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
Family treasure and enterprises,0,YES Administrator,02-06-2019 22:27:29,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Vinton Consulting Group,10000,YES Administrator,03-06-2019 14:29:32,March,1,Registered,yes,NA,01-07-2019,no,On - Track August 2019,no,NA,NA,0
Rated Production (Pty) Ltd,0,YES Administrator,03-06-2019 14:37:29,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
HyChem (Pty) Ltd,149253199,YES Administrator,04-06-2019 08:32:34,July,14,Registered,yes,In-House 5000,01-02-2019,no,On - Track August 2019,yes,NA,NA,0
Steyn Capital Management (Pty) Ltd,116161565,YES Administrator,04-06-2019 10:55:02,March,13,Registered,yes,In-House Assist 7000,01-10-2019,no,On Track - July 2019,no,NA,NA,0
M.A. Training Solutions,0,YES Administrator,04-06-2019 13:03:13,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
RH Bophelo,0,YES Administrator,04-06-2019 18:35:01,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Juice Farmacy,1,YES Administrator,04-06-2019 19:47:05,March,1,Confirming,yes,NA,NA,no,Potential Host,no,NA,NA,0
Imagemakers (PTY) Ltd,129467691,YES Administrator,05-06-2019 10:06:05,January,8,Registered,yes,In-House 5000,01-03-2019,no,On Track - July 2019,yes,NA,NA,1
Entersekt (Pty) Ltd,148458016,YES Administrator,05-06-2019 11:42:04,July,8,Registered,yes,Host Placement 9000,18-06-2019,no,NA,yes,NA,NA,0
Q Pak (Pty) Ltd,113278116,YES Administrator,05-06-2019 11:57:43,July,8,Calculating for BBBEE,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
Rocketseed South Africa Pty Ltd,16651000,YES Administrator,05-06-2019 13:54:52,July,2,Registered,yes,NA,28-06-2019,no,On Track - July 2019,no,NA,NA,0
Pyrotek Engineering Materials (Pty) Ltd,49901124,YES Administrator,05-06-2019 15:27:40,July,2,Registered,yes,Small Biz 1700,24-06-2019,no,On - Track August 2019,yes,NA,NA,0
ROBINSON LIQUORS PTY LTD,3339521590,YES Administrator,05-06-2019 15:41:14,July,15,Awaiting Pledge and Payment,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
Environmental Research Management South Africa_Year2,211324917,YES Administrator,06-06-2019 12:51:07,April,10,Registered,yes,In-House 5000,07-06-2019,no,On Track - July 2019,no,NA,NA,0
KartKatra,0,YES Administrator,06-06-2019 13:34:19,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Abby Laboratories CC,26000000,YES Administrator,06-06-2019 16:27:08,August,4,Registered,yes,Small Biz 1700,01-07-2019,no,NA,yes,Yes,NA,0
GL events South Africa,0,YES Administrator,07-06-2019 10:07:49,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
Humana People to People in South Africa,80611677,YES Administrator,07-06-2019 10:47:39,January,16,Registered,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
Kwa Mhlanga Construction (Pty) Ltd,63317217,YES Administrator,07-06-2019 11:09:59,February,12,Registered,yes,In-House 5000,01-07-2019,no,On - Track August 2019,yes,NA,NA,0
Mazars Cape Town,230639172,YES Administrator,07-06-2019 13:10:52,September,10,Registered,yes,In-House Assist 7000,01-08-2019,no,On Track - July 2019,yes,NA,NA,1
Balehono HR and Legal,0,YES Administrator,07-06-2019 14:16:06,August,1,Confirming,no,NA,NA,no,Potential Host,no,NA,NA,0
AMAGUGUH PROJECTS,0,YES Administrator,08-06-2019 00:00:34,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
McDonalds,0,YES Administrator,08-06-2019 06:06:29,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
Kranz Compressors (Pty) Ltd,18984092,YES Administrator,10-06-2019 11:19:27,March,1,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
HiiiPower Industries,0,YES Administrator,10-06-2019 14:20:32,March,50,Confirming,no,NA,NA,no,Archived,no,NA,NA,0
Xtensive ICT Academy,0,YES Administrator,10-06-2019 15:09:14,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
Vuka Uzenzele Staffing,0,YES Administrator,10-06-2019 15:33:19,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
Afrigrow Agriholdings,0,YES Administrator,10-06-2019 22:19:22,NA,0,Initial Signup,no,NA,NA,no,On Hold - Awaiting Strategy Sesison,no,NA,NA,0
Monokotshwai Maintenance Services cc,0,YES Administrator,11-06-2019 11:38:48,June,0,Calculating for Non-BBBEE,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Intec Telecom Systems t/a CSG,237000000,YES Administrator,11-06-2019 13:26:03,January,10,Registered,yes,Host Placement 9000,01-07-2019,no,On Hold - Awaiting Year End,no,NA,NA,0
Eddie Built,0,YES Administrator,11-06-2019 13:29:41,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
LA Mess,0,YES Administrator,11-06-2019 14:44:57,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
Jtwears,0,YES Administrator,11-06-2019 15:46:38,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Allevest Pty Ltd,0,YES Administrator,11-06-2019 19:24:56,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
Esor Construction Ltd,150000000,YES Administrator,12-06-2019 10:43:07,June,18,Registered,yes,In-House 5000,31-07-2019,no,On Track - July 2019,yes,NA,NA,0
NCG Container Solutions SA (Pty) Ltd,186900000,YES Administrator,12-06-2019 11:25:20,January,9,Registered,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
North Holdings (Pty) Ltd,75336834,YES Administrator,12-06-2019 14:13:18,July,7,Registered,yes,In-House 5000,01-04-2019,no,On - Track August 2019,yes,NA,NA,0
The SPAR Group Ltd,70000000000,Zintle Raziya,12-06-2019 14:37:22,October,410,Registered,yes,In-House 5000,30-09-2019,no,On Track - July 2019,yes,NA,NA,0
Spier Resort Mangement (Pty)Ltd,117850070,YES Administrator,13-06-2019 10:19:19,July,8,Registered,yes,In-House 5000,01-08-2019,no,On - Track August 2019,yes,NA,NA,0
Buckman Laboratories (Pty) Ltd 2019,656554893,Tracey Czakan,13-06-2019 12:54:33,December,21,Registered,yes,NA,NA,no,NA,yes,NA,NA,0
khomotjo Enterprise,0,YES Administrator,13-06-2019 14:12:45,May,10,Confirming,no,NA,NA,no,Archived,no,NA,NA,0
Consolidated Power Projects (Pty) Ltd,623486397,YES Administrator,14-06-2019 09:48:58,September,30,Registered,yes,In-House 5000,01-05-2019,no,On Track - July 2019,yes,NA,NA,0
Rushil,0,YES Administrator,14-06-2019 19:45:44,February,0,Adding Business Details,no,NA,NA,no,Archived,no,NA,NA,0
Ntateng general maintenance,0,YES Administrator,16-06-2019 19:19:51,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Mnavy Graphics,0,YES Administrator,17-06-2019 12:11:58,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Langebaan Estate Lodge (Pty) Ltd,9318252,YES Administrator,18-06-2019 09:56:10,July,2,Registered,no,Small Biz 1700,28-06-2019,no,On - Track August 2019,yes,NA,NA,0
GWK,5975675938,YES Administrator,18-06-2019 14:52:44,June,60,Registered,yes,In-House 5000,01-08-2019,no,On Track - July 2019,yes,NA,NA,0
VDT Attorneys Incorporated,49352592,YES Administrator,18-06-2019 14:56:10,July,8,Registered,yes,In-House 5000,01-06-2019,no,NA,yes,NA,NA,0
Codetelligent Pty Ltd,0,YES Administrator,18-06-2019 20:42:49,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
maletjaBailekae trading enterprise,0,YES Administrator,18-06-2019 23:00:23,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Tiro Access (Pty) Ltd,39955018,YES Administrator,19-06-2019 14:08:38,July,4,Registered,yes,Small Biz 1700,23-05-2019,no,On Track - July 2019,yes,NA,NA,0
Gearhouse System Solutions (Pty) Ltd,18000000,YES Administrator,19-06-2019 14:15:43,July,2,Registered,yes,Small Biz 1700,01-07-2019,no,On Track - July 2019,yes,NA,NA,0
The Idea Gallery Pty Ltd,0,YES Administrator,20-06-2019 22:48:38,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Insingk Business Group,0,YES Administrator,21-06-2019 09:19:33,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
MATA Intergrated Waste Management,0,YES Administrator,21-06-2019 13:15:24,February,1,Awaiting Pledge and Payment,no,NA,NA,no,Archived,no,NA,NA,0
Unathi Travel,0,YES Administrator,21-06-2019 16:19:51,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
mavee tec,0,YES Administrator,22-06-2019 12:38:03,June,0,Calculating for BBBEE,yes,NA,NA,no,Potential Host,no,NA,NA,0
Global Enterprise Academy South Africa (PTY) Ltd,0,YES Administrator,22-06-2019 23:23:23,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Global Enterprise Academy South Africa,0,YES Administrator,22-06-2019 23:23:23,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
SYNRGISELEARN (PTY)LTD,5600000,YES Administrator,24-06-2019 00:28:07,December,2,Registered,yes,Host Placement 9000,01-08-2019,no,Archived,no,NA,NA,0
AKHANI TECHNOLOGIES (PTY)LTD,0,YES Administrator,24-06-2019 08:36:37,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
MARKPEN SERVICES (PTY)LTD,0,YES Administrator,24-06-2019 12:19:32,February,0,Calculating for BBBEE,no,Small Biz 1700,01-08-2019,no,On Track - July 2019,yes,NA,NA,1
SOUTH AFRICA CANNABIS GROWERS ASSOCIATION,0,YES Administrator,24-06-2019 12:53:57,NA,0,Initial Signup,no,NA,01-07-2019,no,Archived,no,NA,NA,0
ALVI'S DRIFT WINES INTERNATIONAL (PTY)LTD,48000000,YES Administrator,24-06-2019 13:21:37,February,1,Registered,yes,Small Biz 1700,01-07-2019,no,On Track - July 2019,yes,NA,NA,0
PLANNING AHEAD MEDIA SERVICES (PTY)LTD,0,YES Administrator,24-06-2019 16:09:50,NA,0,Initial Signup,no,Small Biz 1700,01-08-2019,no,NA,no,NA,NA,0
WECO (PTY)LTD,72000000,YES Administrator,24-06-2019 17:23:59,May,6,Registered,yes,In-House 5000,01-07-2019,no,On Track - July 2019,yes,NA,NA,0
BOIKGANTSHO IT SOLUTIONS (PTY)LTD,0,YES Administrator,24-06-2019 17:58:23,NA,0,Initial Signup,no,NA,01-07-2019,no,Archived,no,NA,NA,0
THE BEE TRACKING COMPANY (PTY)LTD,0,YES Administrator,24-06-2019 20:34:15,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
DNJ EXCELLING HOLDINGS (PTY)LTD,0,YES Administrator,24-06-2019 21:29:05,June,2,Awaiting Pledge and Payment,no,NA,NA,no,Archived,no,NA,NA,0
IMPALA LININGS (PTY)LTD,11825678,YES Administrator,25-06-2019 10:43:09,February,2,Registered,yes,Small Biz 1700,01-09-2019,no,On - Track August 2019,yes,NA,NA,0
BUY FRIEND (PTY)LTD,0,YES Administrator,25-06-2019 10:46:02,March,1,Registered,yes,NA,05-07-2019,no,On Hold - Transport Sector,no,NA,NA,0
